dataset,horizon,mse_norm,mae_norm,status,report_file
AQShunyi.csv,96,,,skipped_existing,result/AQShunyi/DUET_localbranch_all/test_report.1777571990.asimov2c.4024082.csv
AQShunyi.csv,192,,,skipped_existing,result/AQShunyi/DUET_localbranch_all/test_report.1777571990.asimov2c.4024082.csv
AQShunyi.csv,336,,,skipped_existing,result/AQShunyi/DUET_localbranch_all/test_report.1777571990.asimov2c.4024082.csv
AQShunyi.csv,720,,,skipped_existing,result/AQShunyi/DUET_localbranch_all/test_report.1777571990.asimov2c.4024082.csv
AQWan.csv,96,,,skipped_existing,result/AQWan/DUET_localbranch_all/test_report.1777572132.asimov2c.4027219.csv
AQWan.csv,192,,,skipped_existing,result/AQWan/DUET_localbranch_all/test_report.1777572132.asimov2c.4027219.csv
AQWan.csv,336,,,skipped_existing,result/AQWan/DUET_localbranch_all/test_report.1777572132.asimov2c.4027219.csv
AQWan.csv,720,,,skipped_existing,result/AQWan/DUET_localbranch_all/test_report.1777572132.asimov2c.4027219.csv
CzeLan.csv,96,,,skipped_existing,result/CzeLan/DUET_localbranch_all/test_report.1777572381.asimov2c.4027565.csv
CzeLan.csv,192,,,skipped_existing,result/CzeLan/DUET_localbranch_all/test_report.1777572381.asimov2c.4027565.csv
CzeLan.csv,336,,,skipped_existing,result/CzeLan/DUET_localbranch_all/test_report.1777572381.asimov2c.4027565.csv
CzeLan.csv,720,,,skipped_existing,result/CzeLan/DUET_localbranch_all/test_report.1777572381.asimov2c.4027565.csv
ETTh1.csv,96,,,skipped_existing,result/ETTh1/DUET_localbranch_all/test_report.1777572340.asimov2c.4029925.csv
ETTh1.csv,192,,,skipped_existing,result/ETTh1/DUET_localbranch_all/test_report.1777572340.asimov2c.4029925.csv
ETTh1.csv,336,,,skipped_existing,result/ETTh1/DUET_localbranch_all/test_report.1777572340.asimov2c.4029925.csv
ETTh1.csv,720,,,skipped_existing,result/ETTh1/DUET_localbranch_all/test_report.1777572340.asimov2c.4029925.csv
ETTh2.csv,96,,,skipped_existing,result/ETTh2/DUET_localbranch_all/test_report.1777572365.asimov2c.4031449.csv
ETTh2.csv,192,,,skipped_existing,result/ETTh2/DUET_localbranch_all/test_report.1777572365.asimov2c.4031449.csv
ETTh2.csv,336,,,skipped_existing,result/ETTh2/DUET_localbranch_all/test_report.1777572365.asimov2c.4031449.csv
ETTh2.csv,720,,,skipped_existing,result/ETTh2/DUET_localbranch_all/test_report.1777572365.asimov2c.4031449.csv
